/home/zhuyuan/zy_all/Advanced-Softly-Update-Drop-master/resnet18
------------------------------------------------------------------------------
Preparing the network and data ... 
Basic information:  data: /home/zhuyuan/zy_all/WSNFGVC-master/datasets/web-bird/   lr: 0.01   w_decay: 1e-05
Parameter information:  denoise: True   drop_rate: 0.25   smooth: True   label_weight: 0.5   tk: 5   warmup: 5
------------------------------------------------------------------------------
| A ResNet18_Normalized network is instantiated, pre-trained: True, two-step-training: False, number of classes: 200
cuda device :  1
lr_scheduler: CosineAnnealingLR
--------------------------------
preparing dataset
Using all images
--------------------------------
--------------------------------
preparing dataset
Using all images
--------------------------------
number of classes in trainset is : 200
number of classes in testset is : 200
Training ... 
Epoch	Train Loss	Train Accuracy	Test Accuracy	Epoch Runtime
warmup learning rate 0.002
*1	5.262		6.20%		17.60%		163.97		18388.00
warmup learning rate 0.004
*2	4.851		24.41%		43.23%		153.71		17468.00
warmup learning rate 0.006
*3	4.647		36.03%		49.05%		152.12		16549.00
warmup learning rate 0.008
*4	4.484		43.12%		54.26%		157.76		15629.00
warmup learning rate 0.01
*5	4.395		46.53%		55.07%		156.06		14710.00
*6	4.260		52.51%		58.96%		153.93		13791.00
7	4.140		57.33%		57.59%		155.24		13791.00
*8	4.073		61.43%		61.87%		156.04		13791.00
*9	3.999		65.90%		64.43%		157.05		13791.00
*10	3.929		69.19%		64.58%		154.08		13791.00
*11	3.872		72.30%		67.09%		151.80		13791.00
*12	3.821		74.58%		68.29%		153.23		13791.00
13	3.785		76.47%		67.71%		152.95		13791.00
14	3.751		77.56%		67.62%		159.49		13791.00
*15	3.714		78.49%		69.33%		153.27		13791.00
*16	3.692		79.00%		70.76%		157.71		13791.00
17	3.669		79.53%		70.42%		157.34		13791.00
*18	3.644		80.23%		71.44%		154.92		13791.00
19	3.626		80.45%		71.23%		157.16		13791.00
*20	3.608		80.77%		71.49%		154.65		13791.00
*21	3.594		80.56%		72.85%		153.33		13791.00
22	3.579		81.12%		71.13%		157.07		13791.00
23	3.567		81.01%		72.21%		156.78		13791.00
*24	3.559		80.93%		74.39%		154.80		13791.00
25	3.553		81.01%		72.45%		152.59		13791.00
26	3.543		81.00%		73.09%		154.17		13791.00
27	3.534		81.03%		72.61%		155.20		13791.00
28	3.522		81.09%		73.21%		155.54		13791.00
29	3.516		81.16%		73.47%		160.11		13791.00
30	3.508		81.13%		74.35%		153.52		13791.00
31	3.498		81.26%		74.06%		153.02		13791.00
*32	3.495		81.12%		74.40%		154.70		13791.00
33	3.489		81.23%		73.11%		160.40		13791.00
*34	3.483		81.12%		74.44%		160.46		13791.00
*35	3.476		81.09%		74.49%		157.48		13791.00
36	3.475		80.90%		74.37%		155.72		13791.00
*37	3.466		81.33%		75.75%		153.68		13791.00
*38	3.466		81.15%		75.92%		154.00		13791.00
39	3.459		81.31%		75.15%		154.60		13791.00
40	3.455		81.31%		74.97%		153.82		13791.00
41	3.454		81.18%		75.20%		155.23		13791.00
42	3.449		81.31%		75.54%		159.29		13791.00
43	3.446		81.30%		75.56%		151.57		13791.00
44	3.445		81.30%		75.85%		154.86		13791.00
45	3.440		81.34%		75.91%		156.47		13791.00
*46	3.436		81.27%		76.32%		154.00		13791.00
*47	3.434		81.28%		76.53%		153.10		13791.00
48	3.432		81.44%		75.92%		159.69		13791.00
*49	3.428		81.53%		76.60%		153.04		13791.00
50	3.428		81.45%		76.23%		154.91		13791.00
51	3.426		81.40%		75.87%		156.79		13791.00
52	3.424		81.55%		76.60%		154.48		13791.00
53	3.422		81.52%		76.51%		156.39		13791.00
54	3.420		81.42%		76.37%		159.36		13791.00
*55	3.417		81.52%		76.65%		154.97		13791.00
56	3.417		81.66%		76.42%		154.28		13791.00
57	3.416		81.60%		76.18%		156.45		13791.00
*58	3.415		81.37%		76.89%		157.96		13791.00
59	3.412		81.58%		76.44%		158.20		13791.00
60	3.411		81.75%		76.67%		154.18		13791.00
61	3.410		81.57%		76.42%		155.01		13791.00
62	3.410		81.51%		76.23%		154.71		13791.00
63	3.408		81.52%		76.65%		155.15		13791.00
64	3.407		81.51%		76.89%		153.13		13791.00
65	3.405		81.68%		76.87%		157.92		13791.00
66	3.406		81.53%		76.89%		153.47		13791.00
*67	3.405		81.44%		77.03%		153.99		13791.00
*68	3.404		81.64%		77.11%		161.61		13791.00
69	3.403		81.49%		76.54%		158.07		13791.00
70	3.403		81.77%		76.96%		153.10		13791.00
71	3.402		81.80%		76.77%		153.75		13791.00
72	3.401		81.73%		76.80%		152.38		13791.00
73	3.401		81.66%		76.65%		155.78		13791.00
74	3.401		81.77%		76.77%		156.14		13791.00
75	3.400		81.68%		76.67%		155.52		13791.00
76	3.401		81.63%		77.11%		159.55		13791.00
77	3.400		81.65%		76.79%		155.05		13791.00
78	3.399		81.72%		76.77%		154.17		13791.00
79	3.400		81.78%		76.80%		154.79		13791.00
80	3.398		81.96%		76.39%		157.29		13791.00
-----------------------------------------------------------------
